power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 998	 1000	 99.8%
-61	 1000	 1000	 100.0%
-62	 995	 1000	 99.5%
-63	 996	 1000	 99.6%
-64	 994	 1000	 99.4%
-65	 995	 1000	 99.5%
-66	 993	 1000	 99.3%
-67	 995	 1000	 99.5%
-68	 996	 1000	 99.6%
-69	 996	 1000	 99.6%
-70	 996	 1000	 99.6%
-71	 995	 1000	 99.5%
-72	 997	 1000	 99.7%
-73	 996	 1000	 99.6%
-74	 994	 1000	 99.4%
-75	 996	 1000	 99.6%
-76	 995	 1000	 99.5%
-77	 996	 1000	 99.6%
-78	 996	 1000	 99.6%
-79	 994	 1000	 99.4%
-80	 988	 1000	 98.8%
-81	 976	 1000	 97.6%
-82	 948	 1000	 94.8%
-83	 832	 1000	 83.2%
-84	 649	 1000	 64.9%
