power,	 Rx_OK,	 send_total,  RX_OK_Percent
-71	 1000	 1000	 100.0%
-72	 1000	 1000	 100.0%
-73	 998	 1000	 99.8%
-74	 1000	 1000	 100.0%
-75	 1000	 1000	 100.0%
-76	 -1	 1000	 -100%
-77	 1000	 1000	 100.0%
-78	 1000	 1000	 100.0%
-79	 1000	 1000	 100.0%
-80	 1000	 1000	 100.0%
-81	 999	 1000	 99.9%
-82	 999	 1000	 99.9%
-83	 996	 1000	 99.6%
-84	 999	 1000	 99.9%
-85	 1000	 1000	 100.0%
-86	 999	 1000	 99.9%
-87	 1000	 1000	 100.0%
-88	 1000	 1000	 100.0%
-89	 1000	 1000	 100.0%
-90	 999	 1000	 99.9%
-91	 1000	 1000	 100.0%
-92	 989	 1000	 98.9%
-93	 829	 1000	 82.9%
-94	 215	 1000	 21.5%
