power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 998	 1000	 99.8%
-83	 999	 1000	 99.9%
-84	 1000	 1000	 100.0%
-85	 1000	 1000	 100.0%
-86	 997	 1000	 99.7%
-87	 995	 1000	 99.5%
-88	 998	 1000	 99.8%
-89	 995	 1000	 99.5%
-90	 1000	 1000	 100.0%
-91	 1000	 1000	 100.0%
-92	 998	 1000	 99.8%
-93	 999	 1000	 99.9%
-94	 998	 1000	 99.8%
-95	 999	 1000	 99.9%
-96	 995	 1000	 99.5%
-97	 998	 1000	 99.8%
-98	 998	 1000	 99.8%
-99	 996	 1000	 99.6%
-100	 1000	 1000	 100.0%
-101	 991	 1000	 99.1%
-102	 985	 1000	 98.5%
-103	 931	 1000	 93.1%
-104	 649	 1000	 64.9%
