power,	 Rx_OK,	 send_total,  RX_OK_Percent
-75	 1000	 1000	 100.0%
-76	 998	 1000	 99.8%
-77	 1000	 1000	 100.0%
-78	 1000	 1000	 100.0%
-79	 999	 1000	 99.9%
-80	 1000	 1000	 100.0%
-81	 999	 1000	 99.9%
-82	 1000	 1000	 100.0%
-83	 1000	 1000	 100.0%
-84	 1000	 1000	 100.0%
-85	 1000	 1000	 100.0%
-86	 999	 1000	 99.9%
-87	 1000	 1000	 100.0%
-88	 1000	 1000	 100.0%
-89	 1000	 1000	 100.0%
-90	 1000	 1000	 100.0%
-91	 1000	 1000	 100.0%
-92	 1000	 1000	 100.0%
-93	 996	 1000	 99.6%
-94	 965	 1000	 96.5%
-95	 902	 1000	 90.2%
-96	 640	 1000	 64.0%
