power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 993	 1000	 99.3%
-61	 999	 1000	 99.9%
-62	 998	 1000	 99.8%
-63	 997	 1000	 99.7%
-64	 995	 1000	 99.5%
-65	 997	 1000	 99.7%
-66	 998	 1000	 99.8%
-67	 998	 1000	 99.8%
-68	 998	 1000	 99.8%
-69	 997	 1000	 99.7%
-70	 997	 1000	 99.7%
-71	 995	 1000	 99.5%
-72	 993	 1000	 99.3%
-73	 998	 1000	 99.8%
-74	 994	 1000	 99.4%
-75	 999	 1000	 99.9%
-76	 998	 1000	 99.8%
-77	 983	 1000	 98.3%
-78	 963	 1000	 96.3%
-79	 890	 1000	 89.0%
-80	 735	 1000	 73.5%
