power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 995	 1000	 99.5%
-61	 996	 1000	 99.6%
-62	 997	 1000	 99.7%
-63	 987	 1000	 98.7%
-64	 995	 1000	 99.5%
-65	 992	 1000	 99.2%
-66	 994	 1000	 99.4%
-67	 996	 1000	 99.6%
-68	 998	 1000	 99.8%
-69	 997	 1000	 99.7%
-70	 994	 1000	 99.4%
-71	 996	 1000	 99.6%
-72	 995	 1000	 99.5%
-73	 997	 1000	 99.7%
-74	 996	 1000	 99.6%
-75	 996	 1000	 99.6%
-76	 994	 1000	 99.4%
-77	 995	 1000	 99.5%
-78	 998	 1000	 99.8%
-79	 994	 1000	 99.4%
-80	 989	 1000	 98.9%
-81	 966	 1000	 96.6%
-82	 874	 1000	 87.4%
-83	 673	 1000	 67.3%
