power,	 Rx_OK,	 send_total,  RX_OK_Percent
-75	 999	 1000	 99.9%
-76	 996	 1000	 99.6%
-77	 996	 1000	 99.6%
-78	 996	 1000	 99.6%
-79	 999	 1000	 99.9%
-80	 999	 1000	 99.9%
-81	 999	 1000	 99.9%
-82	 998	 1000	 99.8%
-83	 997	 1000	 99.7%
-84	 1000	 1000	 100.0%
-85	 996	 1000	 99.6%
-86	 1000	 1000	 100.0%
-87	 998	 1000	 99.8%
-88	 997	 1000	 99.7%
-89	 1000	 1000	 100.0%
-90	 996	 1000	 99.6%
-91	 1000	 1000	 100.0%
-92	 1000	 1000	 100.0%
-93	 982	 1000	 98.2%
-94	 962	 1000	 96.2%
-95	 827	 1000	 82.7%
-96	 490	 1000	 49.0%
