power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 996	 1000	 99.6%
-83	 999	 1000	 99.9%
-84	 999	 1000	 99.9%
-85	 998	 1000	 99.8%
-86	 998	 1000	 99.8%
-87	 997	 1000	 99.7%
-88	 997	 1000	 99.7%
-89	 998	 1000	 99.8%
-90	 995	 1000	 99.5%
-91	 998	 1000	 99.8%
-92	 1000	 1000	 100.0%
-93	 1000	 1000	 100.0%
-94	 997	 1000	 99.7%
-95	 999	 1000	 99.9%
-96	 1000	 1000	 100.0%
-97	 997	 1000	 99.7%
-98	 1000	 1000	 100.0%
-99	 1000	 1000	 100.0%
-100	 998	 1000	 99.8%
-101	 992	 1000	 99.2%
-102	 984	 1000	 98.4%
-103	 899	 1000	 89.9%
-104	 487	 1000	 48.7%
