power,	 Rx_OK,	 send_total,  RX_OK_Percent
-59	 995	 1000	 99.5%
-60	 1000	 1000	 100.0%
-61	 999	 1000	 99.9%
-62	 993	 1000	 99.3%
-63	 994	 1000	 99.4%
-64	 997	 1000	 99.7%
-65	 999	 1000	 99.9%
-66	 998	 1000	 99.8%
-67	 999	 1000	 99.9%
-68	 997	 1000	 99.7%
-69	 997	 1000	 99.7%
-70	 996	 1000	 99.6%
-71	 997	 1000	 99.7%
-72	 996	 1000	 99.6%
-73	 992	 1000	 99.2%
-74	 998	 1000	 99.8%
-75	 991	 1000	 99.1%
-76	 993	 1000	 99.3%
-77	 989	 1000	 98.9%
-78	 964	 1000	 96.4%
-79	 956	 1000	 95.6%
-80	 903	 1000	 90.3%
-81	 777	 1000	 77.7%
