power,	 Rx_OK,	 send_total,  RX_OK_Percent
-79	 998	 1000	 99.8%
-80	 988	 1000	 98.8%
-81	 997	 1000	 99.7%
-82	 998	 1000	 99.8%
-83	 997	 1000	 99.7%
-84	 999	 1000	 99.9%
-85	 996	 1000	 99.6%
-86	 988	 1000	 98.8%
-87	 989	 1000	 98.9%
-88	 992	 1000	 99.2%
-89	 998	 1000	 99.8%
-90	 1000	 1000	 100.0%
-91	 998	 1000	 99.8%
-92	 998	 1000	 99.8%
-93	 997	 1000	 99.7%
-94	 997	 1000	 99.7%
-95	 997	 1000	 99.7%
-96	 997	 1000	 99.7%
-97	 992	 1000	 99.2%
-98	 998	 1000	 99.8%
-99	 986	 1000	 98.6%
-100	 922	 1000	 92.2%
-101	 539	 1000	 53.9%
