power,	 Rx_OK,	 send_total,  RX_OK_Percent
-59	 999	 1000	 99.9%
-60	 1000	 1000	 100.0%
-61	 999	 1000	 99.9%
-62	 997	 1000	 99.7%
-63	 994	 1000	 99.4%
-64	 1000	 1000	 100.0%
-65	 1000	 1000	 100.0%
-66	 999	 1000	 99.9%
-67	 1000	 1000	 100.0%
-68	 1996	 1000	 199.6%
-69	 1000	 1000	 100.0%
-70	 999	 1000	 99.9%
-71	 1000	 1000	 100.0%
-72	 996	 1000	 99.6%
-73	 999	 1000	 99.9%
-74	 996	 1000	 99.6%
-75	 999	 1000	 99.9%
-76	 995	 1000	 99.5%
-77	 987	 1000	 98.7%
-78	 971	 1000	 97.1%
-79	 902	 1000	 90.2%
-80	 766	 1000	 76.6%
