power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 1000	 1000	 100.0%
-61	 1000	 1000	 100.0%
-62	 1000	 1000	 100.0%
-63	 1000	 1000	 100.0%
-64	 1000	 1000	 100.0%
-65	 1000	 1000	 100.0%
-66	 999	 1000	 99.9%
-67	 999	 1000	 99.9%
-68	 1000	 1000	 100.0%
-69	 1000	 1000	 100.0%
-70	 1000	 1000	 100.0%
-71	 1000	 1000	 100.0%
-72	 999	 1000	 99.9%
-73	 1000	 1000	 100.0%
-74	 999	 1000	 99.9%
-75	 -1	 1000	 -100%
-76	 994	 1000	 99.4%
-77	 985	 1000	 98.5%
-78	 948	 1000	 94.8%
-79	 851	 1000	 85.1%
-80	 585	 1000	 58.5%
