power,	 Rx_OK,	 send_total,  RX_OK_Percent
-79	 996	 1000	 99.6%
-80	 999	 1000	 99.9%
-81	 997	 1000	 99.7%
-82	 999	 1000	 99.9%
-83	 999	 1000	 99.9%
-84	 1000	 1000	 100.0%
-85	 999	 1000	 99.9%
-86	 998	 1000	 99.8%
-87	 998	 1000	 99.8%
-88	 998	 1000	 99.8%
-89	 998	 1000	 99.8%
-90	 997	 1000	 99.7%
-91	 997	 1000	 99.7%
-92	 995	 1000	 99.5%
-93	 997	 1000	 99.7%
-94	 998	 1000	 99.8%
-95	 1000	 1000	 100.0%
-96	 1000	 1000	 100.0%
-97	 1000	 1000	 100.0%
-98	 999	 1000	 99.9%
-99	 999	 1000	 99.9%
-100	 981	 1000	 98.1%
-101	 924	 1000	 92.4%
-102	 691	 1000	 69.1%
