power,	 Rx_OK,	 send_total,  RX_OK_Percent
-67	 999	 1000	 99.9%
-68	 998	 1000	 99.8%
-69	 998	 1000	 99.8%
-70	 997	 1000	 99.7%
-71	 999	 1000	 99.9%
-72	 997	 1000	 99.7%
-73	 997	 1000	 99.7%
-74	 997	 1000	 99.7%
-75	 997	 1000	 99.7%
-76	 996	 1000	 99.6%
-77	 996	 1000	 99.6%
-78	 996	 1000	 99.6%
-79	 989	 1000	 98.9%
-80	 994	 1000	 99.4%
-81	 998	 1000	 99.8%
-82	 992	 1000	 99.2%
-83	 1000	 1000	 100.0%
-84	 994	 1000	 99.4%
-85	 986	 1000	 98.6%
-86	 948	 1000	 94.8%
-87	 820	 1000	 82.0%
-88	 405	 1000	 40.5%
