power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 998	 1000	 99.8%
-61	 998	 1000	 99.8%
-62	 998	 1000	 99.8%
-63	 999	 1000	 99.9%
-64	 997	 1000	 99.7%
-65	 993	 1000	 99.3%
-66	 996	 1000	 99.6%
-67	 999	 1000	 99.9%
-68	 999	 1000	 99.9%
-69	 997	 1000	 99.7%
-70	 996	 1000	 99.6%
-71	 998	 1000	 99.8%
-72	 998	 1000	 99.8%
-73	 993	 1000	 99.3%
-74	 998	 1000	 99.8%
-75	 995	 1000	 99.5%
-76	 997	 1000	 99.7%
-77	 995	 1000	 99.5%
-78	 998	 1000	 99.8%
-79	 997	 1000	 99.7%
-80	 998	 1000	 99.8%
-81	 993	 1000	 99.3%
-82	 967	 1000	 96.7%
-83	 871	 1000	 87.1%
-84	 679	 1000	 67.9%
