power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 1000	 1000	 100.0%
-61	 1000	 1000	 100.0%
-62	 999	 1000	 99.9%
-63	 999	 1000	 99.9%
-64	 1000	 1000	 100.0%
-65	 999	 1000	 99.9%
-66	 1000	 1000	 100.0%
-67	 1000	 1000	 100.0%
-68	 1000	 1000	 100.0%
-69	 999	 1000	 99.9%
-70	 999	 1000	 99.9%
-71	 999	 1000	 99.9%
-72	 1000	 1000	 100.0%
-73	 1000	 1000	 100.0%
-74	 1000	 1000	 100.0%
-75	 999	 1000	 99.9%
-76	 998	 1000	 99.8%
-77	 996	 1000	 99.6%
-78	 979	 1000	 97.9%
-79	 928	 1000	 92.8%
-80	 762	 1000	 76.2%
