power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 998	 1000	 99.8%
-83	 996	 1000	 99.6%
-84	 999	 1000	 99.9%
-85	 996	 1000	 99.6%
-86	 998	 1000	 99.8%
-87	 999	 1000	 99.9%
-88	 996	 1000	 99.6%
-89	 999	 1000	 99.9%
-90	 999	 1000	 99.9%
-91	 997	 1000	 99.7%
-92	 1000	 1000	 100.0%
-93	 1000	 1000	 100.0%
-94	 998	 1000	 99.8%
-95	 999	 1000	 99.9%
-96	 1000	 1000	 100.0%
-97	 998	 1000	 99.8%
-98	 996	 1000	 99.6%
-99	 997	 1000	 99.7%
-100	 1000	 1000	 100.0%
-101	 995	 1000	 99.5%
-102	 982	 1000	 98.2%
-103	 916	 1000	 91.6%
-104	 588	 1000	 58.8%
