power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 995	 1000	 99.5%
-61	 998	 1000	 99.8%
-62	 996	 1000	 99.6%
-63	 999	 1000	 99.9%
-64	 991	 1000	 99.1%
-65	 996	 1000	 99.6%
-66	 994	 1000	 99.4%
-67	 997	 1000	 99.7%
-68	 998	 1000	 99.8%
-69	 998	 1000	 99.8%
-70	 998	 1000	 99.8%
-71	 996	 1000	 99.6%
-72	 994	 1000	 99.4%
-73	 998	 1000	 99.8%
-74	 996	 1000	 99.6%
-75	 996	 1000	 99.6%
-76	 999	 1000	 99.9%
-77	 991	 1000	 99.1%
-78	 980	 1000	 98.0%
-79	 893	 1000	 89.3%
-80	 729	 1000	 72.9%
