power,	 Rx_OK,	 send_total,  RX_OK_Percent
-77	 993	 1000	 99.3%
-78	 994	 1000	 99.4%
-79	 998	 1000	 99.8%
-80	 998	 1000	 99.8%
-81	 997	 1000	 99.7%
-82	 996	 1000	 99.6%
-83	 996	 1000	 99.6%
-84	 995	 1000	 99.5%
-85	 997	 1000	 99.7%
-86	 999	 1000	 99.9%
-87	 999	 1000	 99.9%
-88	 997	 1000	 99.7%
-89	 997	 1000	 99.7%
-90	 998	 1000	 99.8%
-91	 999	 1000	 99.9%
-92	 999	 1000	 99.9%
-93	 999	 1000	 99.9%
-94	 995	 1000	 99.5%
-95	 999	 1000	 99.9%
-96	 1000	 1000	 100.0%
-97	 998	 1000	 99.8%
-98	 992	 1000	 99.2%
-99	 951	 1000	 95.1%
-100	 452	 1000	 45.2%
