power,	 Rx_OK,	 send_total,  RX_OK_Percent
-71	 998	 1000	 99.8%
-72	 991	 1000	 99.1%
-73	 994	 1000	 99.4%
-74	 997	 1000	 99.7%
-75	 996	 1000	 99.6%
-76	 996	 1000	 99.6%
-77	 992	 1000	 99.2%
-78	 995	 1000	 99.5%
-79	 995	 1000	 99.5%
-80	 997	 1000	 99.7%
-81	 999	 1000	 99.9%
-82	 993	 1000	 99.3%
-83	 997	 1000	 99.7%
-84	 997	 1000	 99.7%
-85	 993	 1000	 99.3%
-86	 997	 1000	 99.7%
-87	 997	 1000	 99.7%
-88	 996	 1000	 99.6%
-89	 1000	 1000	 100.0%
-90	 995	 1000	 99.5%
-91	 966	 1000	 96.6%
-92	 736	 1000	 73.6%
