power,	 Rx_OK,	 send_total,  RX_OK_Percent
-67	 996	 1000	 99.6%
-68	 999	 1000	 99.9%
-69	 1000	 1000	 100.0%
-70	 997	 1000	 99.7%
-71	 996	 1000	 99.6%
-72	 1000	 1000	 100.0%
-73	 995	 1000	 99.5%
-74	 995	 1000	 99.5%
-75	 995	 1000	 99.5%
-76	 998	 1000	 99.8%
-77	 998	 1000	 99.8%
-78	 997	 1000	 99.7%
-79	 998	 1000	 99.8%
-80	 991	 1000	 99.1%
-81	 997	 1000	 99.7%
-82	 996	 1000	 99.6%
-83	 996	 1000	 99.6%
-84	 993	 1000	 99.3%
-85	 994	 1000	 99.4%
-86	 963	 1000	 96.3%
-87	 886	 1000	 88.6%
-88	 511	 1000	 51.1%
