power,	 Rx_OK,	 send_total,  RX_OK_Percent
-64	 996	 1000	 99.6%
-65	 995	 1000	 99.5%
-66	 999	 1000	 99.9%
-67	 998	 1000	 99.8%
-68	 998	 1000	 99.8%
-69	 993	 1000	 99.3%
-70	 998	 1000	 99.8%
-71	 998	 1000	 99.8%
-72	 993	 1000	 99.3%
-73	 997	 1000	 99.7%
-74	 995	 1000	 99.5%
-75	 995	 1000	 99.5%
-76	 994	 1000	 99.4%
-77	 995	 1000	 99.5%
-78	 996	 1000	 99.6%
-79	 998	 1000	 99.8%
-80	 995	 1000	 99.5%
-81	 999	 1000	 99.9%
-82	 993	 1000	 99.3%
-83	 994	 1000	 99.4%
-84	 993	 1000	 99.3%
-85	 974	 1000	 97.4%
-86	 901	 1000	 90.1%
-87	 680	 1000	 68.0%
