power,	 Rx_OK,	 send_total,  RX_OK_Percent
-64	 1000	 1000	 100.0%
-65	 1000	 1000	 100.0%
-66	 1000	 1000	 100.0%
-67	 998	 1000	 99.8%
-68	 1000	 1000	 100.0%
-69	 999	 1000	 99.9%
-70	 1000	 1000	 100.0%
-71	 999	 1000	 99.9%
-72	 1000	 1000	 100.0%
-73	 1000	 1000	 100.0%
-74	 1000	 1000	 100.0%
-75	 999	 1000	 99.9%
-76	 1000	 1000	 100.0%
-77	 -1	 1000	 -100%
-78	 1000	 1000	 100.0%
-79	 1000	 1000	 100.0%
-80	 1000	 1000	 100.0%
-81	 997	 1000	 99.7%
-82	 990	 1000	 99.0%
-83	 956	 1000	 95.6%
-84	 809	 1000	 80.9%
-85	 491	 1000	 49.1%
