power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 1000	 1000	 100.0%
-61	 1000	 1000	 100.0%
-62	 1000	 1000	 100.0%
-63	 1000	 1000	 100.0%
-64	 1000	 1000	 100.0%
-65	 1000	 1000	 100.0%
-66	 1000	 1000	 100.0%
-67	 999	 1000	 99.9%
-68	 1000	 1000	 100.0%
-69	 1000	 1000	 100.0%
-70	 1000	 1000	 100.0%
-71	 1000	 1000	 100.0%
-72	 999	 1000	 99.9%
-73	 1000	 1000	 100.0%
-74	 1000	 1000	 100.0%
-75	 999	 1000	 99.9%
-76	 989	 1000	 98.9%
-77	 969	 1000	 96.9%
-78	 895	 1000	 89.5%
-79	 709	 1000	 70.9%
