power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 996	 1000	 99.6%
-61	 998	 1000	 99.8%
-62	 996	 1000	 99.6%
-63	 996	 1000	 99.6%
-64	 996	 1000	 99.6%
-65	 995	 1000	 99.5%
-66	 995	 1000	 99.5%
-67	 997	 1000	 99.7%
-68	 996	 1000	 99.6%
-69	 997	 1000	 99.7%
-70	 995	 1000	 99.5%
-71	 996	 1000	 99.6%
-72	 997	 1000	 99.7%
-73	 996	 1000	 99.6%
-74	 994	 1000	 99.4%
-75	 994	 1000	 99.4%
-76	 992	 1000	 99.2%
-77	 968	 1000	 96.8%
-78	 937	 1000	 93.7%
-79	 843	 1000	 84.3%
-80	 594	 1000	 59.4%
