power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 998	 1000	 99.8%
-83	 999	 1000	 99.9%
-84	 999	 1000	 99.9%
-85	 999	 1000	 99.9%
-86	 999	 1000	 99.9%
-87	 1000	 1000	 100.0%
-88	 999	 1000	 99.9%
-89	 998	 1000	 99.8%
-90	 999	 1000	 99.9%
-91	 999	 1000	 99.9%
-92	 997	 1000	 99.7%
-93	 998	 1000	 99.8%
-94	 999	 1000	 99.9%
-95	 999	 1000	 99.9%
-96	 999	 1000	 99.9%
-97	 1000	 1000	 100.0%
-98	 995	 1000	 99.5%
-99	 998	 1000	 99.8%
-100	 995	 1000	 99.5%
-101	 998	 1000	 99.8%
-102	 998	 1000	 99.8%
-103	 979	 1000	 97.9%
-104	 907	 1000	 90.7%
-105	 558	 1000	 55.8%
