power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 997	 1000	 99.7%
-61	 997	 1000	 99.7%
-62	 994	 1000	 99.4%
-63	 992	 1000	 99.2%
-64	 995	 1000	 99.5%
-65	 997	 1000	 99.7%
-66	 995	 1000	 99.5%
-67	 996	 1000	 99.6%
-68	 996	 1000	 99.6%
-69	 992	 1000	 99.2%
-70	 995	 1000	 99.5%
-71	 996	 1000	 99.6%
-72	 993	 1000	 99.3%
-73	 993	 1000	 99.3%
-74	 996	 1000	 99.6%
-75	 995	 1000	 99.5%
-76	 994	 1000	 99.4%
-77	 997	 1000	 99.7%
-78	 993	 1000	 99.3%
-79	 994	 1000	 99.4%
-80	 982	 1000	 98.2%
-81	 964	 1000	 96.4%
-82	 899	 1000	 89.9%
-83	 699	 1000	 69.9%
