power,	 Rx_OK,	 send_total,  RX_OK_Percent
-71	 996	 1000	 99.6%
-72	 998	 1000	 99.8%
-73	 996	 1000	 99.6%
-74	 -1	 1000	 -100%
-75	 996	 1000	 99.6%
-76	 997	 1000	 99.7%
-77	 999	 1000	 99.9%
-78	 999	 1000	 99.9%
-79	 995	 1000	 99.5%
-80	 1000	 1000	 100.0%
-81	 998	 1000	 99.8%
-82	 998	 1000	 99.8%
-83	 1000	 1000	 100.0%
-84	 995	 1000	 99.5%
-85	 996	 1000	 99.6%
-86	 1000	 1000	 100.0%
-87	 998	 1000	 99.8%
-88	 999	 1000	 99.9%
-89	 999	 1000	 99.9%
-90	 997	 1000	 99.7%
-91	 997	 1000	 99.7%
-92	 961	 1000	 96.1%
-93	 690	 1000	 69.0%
