power,	 Rx_OK,	 send_total,  RX_OK_Percent
-67	 996	 1000	 99.6%
-68	 993	 1000	 99.3%
-69	 998	 1000	 99.8%
-70	 997	 1000	 99.7%
-71	 998	 1000	 99.8%
-72	 994	 1000	 99.4%
-73	 997	 1000	 99.7%
-74	 995	 1000	 99.5%
-75	 999	 1000	 99.9%
-76	 999	 1000	 99.9%
-77	 998	 1000	 99.8%
-78	 996	 1000	 99.6%
-79	 995	 1000	 99.5%
-80	 997	 1000	 99.7%
-81	 994	 1000	 99.4%
-82	 998	 1000	 99.8%
-83	 992	 1000	 99.2%
-84	 994	 1000	 99.4%
-85	 987	 1000	 98.7%
-86	 919	 1000	 91.9%
-87	 723	 1000	 72.3%
