power,	 Rx_OK,	 send_total,  RX_OK_Percent
-79	 986	 1000	 98.6%
-80	 995	 1000	 99.5%
-81	 994	 1000	 99.4%
-82	 998	 1000	 99.8%
-83	 994	 1000	 99.4%
-84	 998	 1000	 99.8%
-85	 1000	 1000	 100.0%
-86	 995	 1000	 99.5%
-87	 998	 1000	 99.8%
-88	 997	 1000	 99.7%
-89	 1000	 1000	 100.0%
-90	 996	 1000	 99.6%
-91	 998	 1000	 99.8%
-92	 998	 1000	 99.8%
-93	 988	 1000	 98.8%
-94	 984	 1000	 98.4%
-95	 997	 1000	 99.7%
-96	 999	 1000	 99.9%
-97	 997	 1000	 99.7%
-98	 995	 1000	 99.5%
-99	 987	 1000	 98.7%
-100	 899	 1000	 89.9%
-101	 456	 1000	 45.6%
