power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 997	 1000	 99.7%
-61	 995	 1000	 99.5%
-62	 998	 1000	 99.8%
-63	 995	 1000	 99.5%
-64	 997	 1000	 99.7%
-65	 998	 1000	 99.8%
-66	 992	 1000	 99.2%
-67	 998	 1000	 99.8%
-68	 992	 1000	 99.2%
-69	 997	 1000	 99.7%
-70	 993	 1000	 99.3%
-71	 997	 1000	 99.7%
-72	 997	 1000	 99.7%
-73	 995	 1000	 99.5%
-74	 992	 1000	 99.2%
-75	 995	 1000	 99.5%
-76	 996	 1000	 99.6%
-77	 997	 1000	 99.7%
-78	 989	 1000	 98.9%
-79	 985	 1000	 98.5%
-80	 978	 1000	 97.8%
-81	 965	 1000	 96.5%
-82	 870	 1000	 87.0%
-83	 675	 1000	 67.5%
