power,	 Rx_OK,	 send_total,  RX_OK_Percent
-71	 995	 1000	 99.5%
-72	 998	 1000	 99.8%
-73	 996	 1000	 99.6%
-74	 998	 1000	 99.8%
-75	 998	 1000	 99.8%
-76	 999	 1000	 99.9%
-77	 998	 1000	 99.8%
-78	 998	 1000	 99.8%
-79	 999	 1000	 99.9%
-80	 998	 1000	 99.8%
-81	 996	 1000	 99.6%
-82	 999	 1000	 99.9%
-83	 998	 1000	 99.8%
-84	 994	 1000	 99.4%
-85	 997	 1000	 99.7%
-86	 998	 1000	 99.8%
-87	 1000	 1000	 100.0%
-88	 998	 1000	 99.8%
-89	 996	 1000	 99.6%
-90	 994	 1000	 99.4%
-91	 981	 1000	 98.1%
-92	 881	 1000	 88.1%
-93	 436	 1000	 43.6%
