power,	 Rx_OK,	 send_total,  RX_OK_Percent
-75	 1000	 1000	 100.0%
-76	 999	 1000	 99.9%
-77	 999	 1000	 99.9%
-78	 1000	 1000	 100.0%
-79	 999	 1000	 99.9%
-80	 1000	 1000	 100.0%
-81	 999	 1000	 99.9%
-82	 1000	 1000	 100.0%
-83	 999	 1000	 99.9%
-84	 1000	 1000	 100.0%
-85	 999	 1000	 99.9%
-86	 1000	 1000	 100.0%
-87	 1000	 1000	 100.0%
-88	 1000	 1000	 100.0%
-89	 1000	 1000	 100.0%
-90	 1000	 1000	 100.0%
-91	 1000	 1000	 100.0%
-92	 993	 1000	 99.3%
-93	 958	 1000	 95.8%
-94	 847	 1000	 84.7%
-95	 518	 1000	 51.8%
