power,	 Rx_OK,	 send_total,  RX_OK_Percent
-84	 995	 1000	 99.5%
-85	 1000	 1000	 100.0%
-86	 998	 1000	 99.8%
-87	 998	 1000	 99.8%
-88	 998	 1000	 99.8%
-89	 999	 1000	 99.9%
-90	 999	 1000	 99.9%
-91	 997	 1000	 99.7%
-92	 997	 1000	 99.7%
-93	 999	 1000	 99.9%
-94	 1000	 1000	 100.0%
-95	 995	 1000	 99.5%
-96	 998	 1000	 99.8%
-97	 999	 1000	 99.9%
-98	 999	 1000	 99.9%
-99	 997	 1000	 99.7%
-100	 996	 1000	 99.6%
-101	 997	 1000	 99.7%
-102	 999	 1000	 99.9%
-103	 995	 1000	 99.5%
-104	 959	 1000	 95.9%
-105	 729	 1000	 72.9%
