power,	 Rx_OK,	 send_total,  RX_OK_Percent
-64	 998	 1000	 99.8%
-65	 999	 1000	 99.9%
-66	 998	 1000	 99.8%
-67	 997	 1000	 99.7%
-68	 995	 1000	 99.5%
-69	 996	 1000	 99.6%
-70	 997	 1000	 99.7%
-71	 998	 1000	 99.8%
-72	 999	 1000	 99.9%
-73	 993	 1000	 99.3%
-74	 -1	 1000	 -100%
-75	 999	 1000	 99.9%
-76	 999	 1000	 99.9%
-77	 996	 1000	 99.6%
-78	 996	 1000	 99.6%
-79	 995	 1000	 99.5%
-80	 998	 1000	 99.8%
-81	 987	 1000	 98.7%
-82	 955	 1000	 95.5%
-83	 856	 1000	 85.6%
-84	 626	 1000	 62.6%
