power,	 Rx_OK,	 send_total,  RX_OK_Percent
-59	 1000	 1000	 100.0%
-60	 999	 1000	 99.9%
-61	 1000	 1000	 100.0%
-62	 1000	 1000	 100.0%
-63	 999	 1000	 99.9%
-64	 998	 1000	 99.8%
-65	 999	 1000	 99.9%
-66	 1000	 1000	 100.0%
-67	 1000	 1000	 100.0%
-68	 1000	 1000	 100.0%
-69	 1000	 1000	 100.0%
-70	 998	 1000	 99.8%
-71	 996	 1000	 99.6%
-72	 1000	 1000	 100.0%
-73	 995	 1000	 99.5%
-74	 993	 1000	 99.3%
-75	 987	 1000	 98.7%
-76	 988	 1000	 98.8%
-77	 959	 1000	 95.9%
-78	 896	 1000	 89.6%
-79	 752	 1000	 75.2%
