power,	 Rx_OK,	 send_total,  RX_OK_Percent
-67	 998	 1000	 99.8%
-68	 998	 1000	 99.8%
-69	 998	 1000	 99.8%
-70	 994	 1000	 99.4%
-71	 994	 1000	 99.4%
-72	 998	 1000	 99.8%
-73	 996	 1000	 99.6%
-74	 994	 1000	 99.4%
-75	 992	 1000	 99.2%
-76	 998	 1000	 99.8%
-77	 999	 1000	 99.9%
-78	 996	 1000	 99.6%
-79	 994	 1000	 99.4%
-80	 996	 1000	 99.6%
-81	 996	 1000	 99.6%
-82	 995	 1000	 99.5%
-83	 993	 1000	 99.3%
-84	 993	 1000	 99.3%
-85	 991	 1000	 99.1%
-86	 930	 1000	 93.0%
-87	 780	 1000	 78.0%
