power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 994	 1000	 99.4%
-61	 996	 1000	 99.6%
-62	 997	 1000	 99.7%
-63	 996	 1000	 99.6%
-64	 996	 1000	 99.6%
-65	 997	 1000	 99.7%
-66	 994	 1000	 99.4%
-67	 993	 1000	 99.3%
-68	 994	 1000	 99.4%
-69	 997	 1000	 99.7%
-70	 995	 1000	 99.5%
-71	 -1	 1000	 -100%
-72	 996	 1000	 99.6%
-73	 993	 1000	 99.3%
-74	 992	 1000	 99.2%
-75	 993	 1000	 99.3%
-76	 992	 1000	 99.2%
-77	 992	 1000	 99.2%
-78	 968	 1000	 96.8%
-79	 903	 1000	 90.3%
-80	 751	 1000	 75.1%
