power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 997	 1000	 99.7%
-61	 997	 1000	 99.7%
-62	 997	 1000	 99.7%
-63	 998	 1000	 99.8%
-64	 999	 1000	 99.9%
-65	 999	 1000	 99.9%
-66	 998	 1000	 99.8%
-67	 996	 1000	 99.6%
-68	 997	 1000	 99.7%
-69	 999	 1000	 99.9%
-70	 997	 1000	 99.7%
-71	 993	 1000	 99.3%
-72	 998	 1000	 99.8%
-73	 998	 1000	 99.8%
-74	 993	 1000	 99.3%
-75	 995	 1000	 99.5%
-76	 1000	 1000	 100.0%
-77	 993	 1000	 99.3%
-78	 992	 1000	 99.2%
-79	 961	 1000	 96.1%
-80	 876	 1000	 87.6%
-81	 682	 1000	 68.2%
