power,	 Rx_OK,	 send_total,  RX_OK_Percent
-71	 998	 1000	 99.8%
-72	 994	 1000	 99.4%
-73	 997	 1000	 99.7%
-74	 992	 1000	 99.2%
-75	 996	 1000	 99.6%
-76	 993	 1000	 99.3%
-77	 996	 1000	 99.6%
-78	 994	 1000	 99.4%
-79	 993	 1000	 99.3%
-80	 996	 1000	 99.6%
-81	 997	 1000	 99.7%
-82	 998	 1000	 99.8%
-83	 994	 1000	 99.4%
-84	 1000	 1000	 100.0%
-85	 997	 1000	 99.7%
-86	 996	 1000	 99.6%
-87	 996	 1000	 99.6%
-88	 998	 1000	 99.8%
-89	 1000	 1000	 100.0%
-90	 996	 1000	 99.6%
-91	 977	 1000	 97.7%
-92	 807	 1000	 80.7%
-93	 169	 1000	 16.9%
