BSSID,SSID,RSSI,Channel,Txbytes
1,0810178196c1,NAP840---TEST4,60,1,7280
4,0810178196c1,NAP840---TEST4,60,1,7062
4,083653545687,NAP840---TEST1,44,1,3304
7,0810178196c1,NAP840---TEST4,60,1,7758
7,083653545687,NAP840---TEST1,52,1,1876
10,0810178196c1,NAP840---TEST4,60,1,7752
10,083653545687,NAP840---TEST1,40,1,944
10,0810112233a1,NAP840---TEST2,28,1,944
