1,83653545687,NAP840---TEST1,75,1,4938
1,08100c002d2e,netcore_chy_2.4,77,1,11259
1,081079d748a1,NAP840---TEST3,52,1,472
1,0810112233a1,NAP840---TEST2,57,1,472
2,83653545687,NAP840---TEST1,72,1,4956
2,08100c002d2e,netcore_chy_2.4,77,1,5988
4,83653545687,NAP840---TEST1,70,1,6124
4,08100c002d2e,netcore_chy_2.4,78,1,9093
5,08100c002d2e,netcore_chy_2.4,68,1,8739
5,83653545687,NAP840---TEST1,73,1,5186
7,08100c002d2e,netcore_chy_2.4,69,1,10515
7,0810112233a1,NAP840---TEST2,56,1,1180
7,83653545687,NAP840---TEST1,73,1,7274
8,08100c002d2e,netcore_chy_2.4,72,1,4962
8,83653545687,NAP840---TEST1,71,1,3534
8,081079d748a1,NAP840---TEST3,52,1,236
9,83653545687,NAP840---TEST1,74,1,20526
10,83653545687,NAP840---TEST1,72,1,5640
10,08100c002d2e,netcore_chy_2.4,72,1,9417
10,0810112233a1,NAP840---TEST2,56,1,944
