1,083653545687,NAP840---TEST1,45,1,5658
1,0810112233a1,NAP840---TEST2,18,1,1888
1,081079d748a1,NAP840---TEST3,59,1,472
2,083653545687,NAP840---TEST1,61,1,21476
2,0810112233a1,NAP840---TEST2,25,1,4956
2,081079d748a1,NAP840---TEST3,06,1,708
3,083653545687,NAP840---TEST1,33,1,4714
4,083653545687,NAP840---TEST1,53,1,20060
5,083653545687,NAP840---TEST1,45,1,6124
5,0810112233a1,NAP840---TEST2,29,1,944
7,083653545687,NAP840---TEST1,53,1,5646
7,0810112233a1,NAP840---TEST2,18,1,1180
9,083653545687,NAP840---TEST1,49,1,4720
9,0810112233a1,NAP840---TEST2,14,1,1882
10,083653545687,NAP840---TEST1,49,1,18644
10,0810112233a1,NAP840---TEST2,18,1,6844
10,081079d748a1,NAP840---TEST3,18,1,944
