1,083653545687,NAP840---TEST1,74,1,2124
1,081079d748a1,NAP840---TEST3,52,1,236
2,083653545687,NAP840---TEST1,73,1,472
2,081079d748a1,NAP840---TEST3,52,1,230
3,083653545687,NAP840---TEST1,72,1,702
4,083653545687,NAP840---TEST1,74,1,702
5,083653545687,NAP840---TEST1,70,1,236
9,083653545687,NAP840---TEST1,74,1,236
10,083653545687,NAP840---TEST1,71,1,1180
10,081079d748a1,NAP840---TEST3,56,1,236
11,083653545687,NAP840---TEST1,72,1,1180
12,083653545687,NAP840---TEST1,73,1,472
17,083653545687,NAP840---TEST1,62,1,236
18,083653545687,NAP840---TEST1,60,1,236
19,083653545687,NAP840---TEST1,71,1,2826
19,081079d748a1,NAP840---TEST3,52,1,236
20,083653545687,NAP840---TEST1,72,1,708
