1,083653545687,NAP840---TEST1,45,1,6602
1,0810112233a1,NAP840---TEST2,14,1,1180
1,081079d748a1,NAP840---TEST3,25,1,944
3,0810112233a1,NAP840---TEST2,10,1,708
3,083653545687,NAP840---TEST1,53,1,3752
3,081079d748a1,NAP840---TEST3,02,1,236
5,083653545687,NAP840---TEST1,41,1,4708
5,0810112233a1,NAP840---TEST2,18,1,466
6,083653545687,NAP840---TEST1,53,1,13216
7,083653545687,NAP840---TEST1,53,1,2360
9,083653545687,NAP840---TEST1,63,1,2360
11,083653545687,NAP840---TEST1,45,1,1652
13,083653545687,NAP840---TEST1,45,1,4236
13,0810112233a1,NAP840---TEST2,25,1,944
13,081079d748a1,NAP840---TEST3,14,1,472
15,083653545687,NAP840---TEST1,41,1,4248
15,081079d748a1,NAP840---TEST3,63,1,708
16,083653545687,NAP840---TEST1,49,1,17228
17,083653545687,NAP840---TEST1,37,1,5192
18,083653545687,NAP840---TEST1,45,1,16992
19,083653545687,NAP840---TEST1,53,1,4006
19,0810112233a1,NAP840---TEST2,10,1,236
